Price,Beds,Bath,Sq.Ft
979999,4,3.5,1813
439900,2,2,1029
950000,4,2.5,2545
280000,2,2,898
649000,2,2,1482
434900,6,2,1059
419900,3,2.5,1218
499900,4,2,1133
269900,2,1,756
627900,2,2.5,1303
910000,4,3.5,2500
939750,4,3.5,1747
399900,3,2.5,1125
425000,3,2.5,1353
999000,4,3.5,1835
649000,5,3.5,1748
600000,2,2,783
339900,2,2,1086
310000,2,2,836
629900,4,3.5,1519
739888,4,2.5,1796
499900,3,3,1066
269000,1,1,707
519900,5,2.5,1193
212000,1,1,563
799999,4,3.5,2321
299900,3,1.5,1001
495000,3,1.5,1122
309900,2,2,835
1097000,3,2.5,2524
999900,5,4.5,1557
849000,5,2,1086
595000,4,3.5,1382
639900,6,5,1762
270000,2,1,758
828345,2,2,1094
575000,4,2.5,1306
825000,4,2,1282
169900,2,1,751
624800,4,2,998
579000,4,2.5,1238
525000,3,1,982
1325000,4,3.5,2636
849000,4,2,1096
429900,3,2,905
199900,3,1.5,996
384900,3,1.5,1027
4899000,6,6.5,5048
229900,2,1,817
364900,2,2.5,1016
449900,4,3,1020
1149900,5,3.5,1871
3100000,6,4.5,4231
374900,2,2.5,1278
539000,2,2,1379
724900,2,2.5,1446
898898,3,2,1007
299900,2,2,803
469000,1,1,700
883900,3,2.5,1384
539000,5,3,1791
539800,2,2,1148
939900,6,4,2638
649900,4,3,1759
269000,3,1,1011
369800,3,1.5,1052
319900,2,1,764
363900,2,2,985
1239900,3,3.5,2604
699900,3,2.5,1948
239900,2,1,446
729900,3,2.5,2105
279900,1,1,445
649900,3,2.5,2426
578000,2,2,823
424900,3,2.5,1161
570000,3,2.5,1687
969900,4,3,1601
319000,2,2,850
699000,4,3.5,1785
578875,4,2,810
335000,2,2,948
839900,4,3.5,2215
1389000,4,3.5,1952
809000,4,3.5,1786
575000,2,1,920
615000,3,2.5,1846
320000,2,2,832
699900,4,1.5,1273
499999,2,2,753
423000,2,2.5,1184
859900,2,2,1367
300000,3,1,1017
569900,3,2,1034
330000,1,1,549
1015000,4,3.5,1767
599000,2,3.5,1294
649900,6,3.5,1992
1289000,5,3.5,2357
1284000,5,3,2343
875000,4,4,2651
589000,3,2.5,1480
749900,4,3.5,2332
849990,4,2.5,2556
1049000,4,2.5,2734
215000,1,1,570
419900,3,2.5,1229
709900,3,2.5,1913
1322800,4,3.5,2901
449900,2,2,1249
725000,4,3.5,1946
399900,2,2.5,1229
729900,2,2,1227
999000,4,3.5,2255
525000,2,2,1211
375000,2,2,750
239900,1,1,426
710000,4,3.5,1803
525000,4,3.5,1890
819900,4,3,1288
719000,3,2.5,2134
659000,3,2.5,2010
580900,1,1.5,964
799000,2,2,1319
2498000,4,5,4226
429900,2,2,1134
369900,2,2,1010
894900,4,3.5,1837
499000,4,2.5,1425
1249900,4,3.5,2080
799000,4,3,1358
699000,4,2,1059
599900,4,2.5,1815
782000,3,2.5,2129
885000,4,2,1289
215000,1,1,700
2050000,2,2,2347
579900,5,2,926
798000,3,4,1188
840000,5,3.5,2352
675000,4,1.5,1257
599000,5,3,1003
319900,1,1,534
839900,1,1.5,2132
949999,3,2.5,1465
179900,2,1,815
170000,2,1,709
699000,5,4,1774
670000,2,2.5,1552
220000,2,1,747
324900,2,2,882
550000,3,1.5,1068
520000,1,1,749
359000,2,2,1208
899900,2,2.5,1565
299900,2,1,602
599900,4,2.5,1416
890000,5,3.5,2117
1049900,4,3.5,2463
1885000,5,4.5,2589
820000,5,3.5,2235
584900,5,3,2047
699000,4,3,1485
1215000,4,3.5,2657
1480000,5,3.5,2911
1349000,5,4.5,2758
334900,3,1.5,1008
684900,3,2.5,1751
294888,2,1,588
629900,4,2,1086
398000,3,1.5,1165
309000,2,2,830
435000,2,2,1161
277000,2,1,621
630000,4,2.5,1303
499000,3,2.5,1292
659900,3,3.5,1663
199999,1,1,569
525000,4,2,1064
589000,3,3.5,1417
569000,4,2.5,1056
549900,2,2,630
949900,6,3.5,2376
750000,4,2,864
418000,2,2.5,1576
664950,4,3.5,1930
649900,4,3.5,1536
599900,2,2.5,1001
925000,4,3.5,1837
699000,2,1,1017
549000,4,3.5,1398
464990,3,2,950
629900,3,2.5,2119
500000,3,2.5,1506
689900,4,2.5,1668
682500,2,2,1073
999900,4,3.5,1933
514900,4,3,1167
1295000,5,3,1666
425000,2,2,945
